Serial No.,College Name,Info Data
349,East West Institute of Technology - [EWIT],"East West Institute of Technology was established in 2001 and is affiliated to  Visvesvaraya Technological University, Belgaum. The Institute is approved by AICTE and accredited by NBA and NAAC. The Institute is famous for engineering as well as management courses and offers UG, PG and PhD programmes in numerous specializations. Admissions in these courses are based on entrance examinations."
350,GS Mandal's Marathwada Institute of Technology - [MIT],"GS Mandal’s Marathwada Institute of Technology, Aurangabad was established in the year 1975 under Bombay Public Trust Act. It is one of the engineering institutes under the Gramodyogik Shikshan Mandal. Over the last three decades, GSM has already set up 19 institutes and 5 centers of learning at different regions in India. MIT is part of National Knowledge Network, Govt. of India. The college is affiliated with Dr. Babasaheb Ambedkar Technological University (BATU), Lonere and is approved by AICTE, New Delhi, Directorate of Technical Education (DTE), Mumbai, and State Govt. of Maharashtra. The institute is the first in India to be impaneled as an ESCO approved by Bureau of Energy Efficiency, Ministry of Power, Govt. of India. The college provides various  in numerous specializations under its curriculum."
351,Hindustan College of Engineering - [HCE],"Hindustan College of Engineering is a private engineering college established in the year 2009 which is located at Kollam, Kerala. This college is affiliated to the University of Kerala. It provides AICTE approved B. Tech course in 4 disciplines such as Mechanical Engineering, Civil Engineering, Computer Science & Engineering, and Electronics & Communication Engineering."
352,IMS Engineering College - [IMSEC],"IMS Engineering College popularly known as IMSEC Ghaziabad is a premier institution in North India among the engineering colleges. The college is approved by the All India Council of Technical Education (AICTE), accredited with Grade A by NAAC, and is affiliated with Dr. APJ Abdul Kalam Technical University, Lucknow. IMS Engineering College was founded in 2002 and offers 17 different courses in full-time mode."
353,Jayawantrao Sawant College of Engineering- [JSCOE],"Jayawantrao Sawant College of Engineering abbreviated as JSCOE is a part of the Hadapsar campus of the Jayawant Shikshan Prasarak Mandal (JSPM) at Pune and was established in 2004. JSCOE offers 16 full-time courses such as BE, ME, MCA, and MBA across 3 streams. The admission to the college is based on entrance exams. The application mode for admission is online."
354,Jerusalem College of Engineering - [JCE],"Jerusalem College of Engineering (JEC) was established in 1995 by the Jerusalem Educational Trust. Situated in the heart of the city, the college offers 7 undergraduate and 6 postgraduate courses in the fields of engineering, technology and management."
355,Keshav Memorial Institute of Technology - [KMIT],Keshav Memorial Institute of Technology is is Accredited with 'A' Grade by NAAC and also accredited by NBA. It is affiliated to Jawahar Nehru Technological University Hyderabad (JNTUH). The institute offers B.Tech program across different streams. Admissions to the B.Tech Program are made along with the other Engineering colleges in the state through a common entrance test (EAMCET) conducted by the Govt. of Telangana State.
356,MIT-WPU Faculty of Engineering,"MIT WPU Faculty of Engineering which was earlier known as MITCOE is one of the prestigious engineering institutes in India. It is recognized by AICTE and Maharashtra Govt. The institute offers B.Tech at the UG level, M.Tech at the PG level, and Ph.D. at the doctoral level. It has state-of-the-art infrastructure and facilities. Reputed organizations like Amazon, TCS, Asian Paints, IBM Global Services, HCL, and Deloitte recruit students with high salary packages"
357,Maharashtra Institute of Technology - [MIT],"Maharashtra Institute of Technology (MIT), Aurangabad was established in 2001 by the Gramodyogik Shikshak Mandal (GSM) and the MIT group of institutes. It is an autonomous institute accredited by grade “A” from NAAC. It offers a wide range of courses for graduation and post-graduation level in disciplines of Engineering & Technology. The institute is permanently affiliated to Dr. Babasaheb Ambedkar Marathwada University (BAMU), Aurangabad and is approved by AICTE, Delhi and DTE Maharashtra. MIT has received recognition under Section 2(F) and 12 (B) of the UGC Act, 1956. UGC has granted autonomous status to the institute."
358,Mahendra Engineering College,"Mahendra Engineering College (MEC) college is a certified Autonomous Institution established by Shri M.G. Bharath Kumar in the year 1995. It is affiliated to Anna University. It offers 14 Undergraduate and 9 Postgraduate Courses in different Engineering streams like Mechanical, CSE, EE, ECE, etc. along with MBA and MCA."
359,Malnad College of Engineering - [MCE],"Malnad College of Engineering (MCE), Hassan was established in 1960 under the auspices of the Malnad Technical Education Society, Hassan. MCE was the first college to be established in the Malnad region of Karnataka state and was affiliated to the University of Mysore, until 1997-98. Malnad Technical Education Society, Hassan, is now affiliated to the Visvesvaraya Technological University, Belgaum."
360,Marian Engineering College - [MEC],"Marian Engineering College is situated in Thiruvananthapuram in the Kerala state of India. Founded in 2001, it is affiliated to the University of Kerala. Marian Engineering College, Thiruvananthapuram offers 6 programs across 1 stream specifically engineering and 2 degrees like B.Tech, M.Tech. Marian Engineering College campus is spread over 40 Acres. Admission to the courses is conducted on the basis of Merit as well as Entrance scores."
361,Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM],"Dr. Akhilesh Das Gupta Institute of Technology & Management, formerly known as Northern India Engineering College (NIEC), New Delhi, was established by BBDES, Lucknow in 2003. The ADGITM campus is located in Shastri Park, a lush 8.08-acre area, and is made up of five interconnected blocks with a total built-up area of roughly 23,636.67 square meters. Guru Gobind Singh Indraprastha University (GGSIPU), located in Delhi, is affiliated with ADGITM, which offers full-time professional programs at the undergraduate and graduate levels that have been approved by AICTE and BCI. Admission to these courses is done through entrance exams such as , JEE-MAINS, / MAT/ XAT. The application mode for admission is online."
